Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1166.027    -1177.369       11.342   645.2
0.0050        -1165.972    -1176.491       10.519   598.4
0.0100        -1165.717    -1174.512        8.795   500.3
0.0150        -1165.295    -1172.691        7.396   420.7
0.0200        -1164.779    -1171.780        7.001   398.3
0.0250        -1164.251    -1171.334        7.083   402.9
0.0300        -1163.729    -1170.796        7.067   402.0
0.0350        -1163.205    -1170.317        7.112   404.5
0.0400        -1162.700    -1170.150        7.450   423.8
0.0450        -1162.226    -1169.828        7.602   432.4
0.0500        -1161.743    -1168.990        7.248   412.3
0.0550        -1161.221    -1168.250        7.029   399.8
0.0600        -1160.712    -1168.295        7.582   431.3
0.0650        -1160.283    -1168.792        8.509   484.1
0.0700        -1159.930    -1168.906        8.976   510.6
0.0750        -1159.592    -1168.376        8.785   499.7
0.0800        -1159.219    -1167.553        8.334   474.1
0.0850        -1158.803    -1166.749        7.947   452.0
0.0900        -1158.356    -1166.088        7.733   439.9
0.0950        -1157.889    -1165.453        7.565   430.3
0.1000        -1157.418    -1165.154        7.735   440.0
0.1050        -1156.982    -1165.230        8.248   469.2
0.1100        -1156.607    -1165.547        8.939   508.5
0.1150        -1156.296    -1165.732        9.437   536.8
0.1200        -1156.020    -1165.689        9.669   550.0
0.1250        -1155.763    -1165.601        9.837   559.6
0.1300        -1155.525    -1165.606       10.081   573.4
0.1350        -1155.321    -1165.865       10.544   599.8
0.1400        -1155.168    -1166.184       11.016   626.6
0.1450        -1155.049    -1166.218       11.169   635.3
0.1500        -1154.934    -1166.086       11.151   634.4
0.1550        -1154.824    -1166.107       11.283   641.8
0.1600        -1154.731    -1166.177       11.446   651.1
0.1650        -1154.643    -1165.979       11.336   644.9
0.1700        -1154.537    -1165.734       11.197   636.9
0.1750        -1154.431    -1165.814       11.383   647.5
0.1800        -1154.356    -1166.101       11.745   668.1
0.1850        -1154.309    -1166.202       11.893   676.5
0.1900        -1154.268    -1166.193       11.925   678.4
0.1950        -1154.242    -1166.527       12.285   698.8
0.2000        -1154.270    -1167.208       12.938   736.0
0.2050        -1154.351    -1167.582       13.231   752.6
0.2100        -1154.434    -1167.366       12.933   735.7
0.2150        -1154.477    -1167.015       12.538   713.2
0.2200        -1154.495    -1166.983       12.488   710.4
0.2250        -1154.520    -1167.135       12.615   717.6
0.2300        -1154.549    -1167.078       12.529   712.7
0.2350        -1154.557    -1166.774       12.217   695.0
0.2400        -1154.538    -1166.590       12.052   685.6
0.2450        -1154.516    -1166.693       12.177   692.7
0.2500        -1154.513    -1166.870       12.357   702.9
0.2550        -1154.525    -1167.078       12.553   714.1
0.2600        -1154.562    -1167.362       12.800   728.1
0.2650        -1154.622    -1167.709       13.086   744.4
0.2700        -1154.719    -1168.186       13.466   766.0
0.2750        -1154.835    -1168.206       13.370   760.6
0.2800        -1154.918    -1167.719       12.802   728.2
0.2850        -1154.939    -1167.188       12.249   696.8
0.2900        -1154.922    -1166.896       11.974   681.1
0.2950        -1154.865    -1166.283       11.418   649.5
0.3000        -1154.751    -1165.601       10.851   617.2
0.3050        -1154.575    -1164.736       10.161   578.0
0.3100        -1154.343    -1164.211        9.868   561.3
0.3150        -1154.107    -1164.203       10.096   574.3
0.3200        -1153.910    -1164.525       10.615   603.8
0.3250        -1153.764    -1164.855       11.090   630.9
0.3300        -1153.666    -1165.250       11.584   659.0
0.3350        -1153.623    -1165.814       12.191   693.5
0.3400        -1153.637    -1166.257       12.620   717.9
0.3450        -1153.664    -1166.041       12.377   704.0
0.3500        -1153.648    -1165.487       11.839   673.5
0.3550        -1153.585    -1165.112       11.527   655.7
0.3600        -1153.510    -1165.127       11.616   660.8
0.3650        -1153.448    -1165.172       11.724   666.9
0.3700        -1153.385    -1164.906       11.521   655.4
0.3750        -1153.292    -1164.569       11.277   641.5
0.3800        -1153.208    -1164.996       11.788   670.6
0.3850        -1153.192    -1165.744       12.552   714.0
0.3900        -1153.245    -1166.304       13.059   742.9
0.3950        -1153.321    -1166.295       12.974   738.0
0.4000        -1153.374    -1166.049       12.675   721.0
0.4050        -1153.407    -1166.059       12.651   719.7
0.4100        -1153.455    -1166.415       12.960   737.2
0.4150        -1153.535    -1166.780       13.245   753.4
0.4200        -1153.631    -1166.851       13.220   752.0
0.4250        -1153.707    -1166.562       12.855   731.2
0.4300        -1153.747    -1166.357       12.610   717.3
0.4350        -1153.779    -1166.445       12.666   720.5
0.4400        -1153.812    -1166.341       12.529   712.7
0.4450        -1153.814    -1165.879       12.065   686.3
0.4500        -1153.772    -1165.526       11.754   668.6
0.4550        -1153.727    -1165.783       12.056   685.8
0.4600        -1153.719    -1166.065       12.346   702.3
0.4650        -1153.721    -1165.952       12.231   695.8
0.4700        -1153.706    -1165.826       12.120   689.4
0.4750        -1153.704    -1166.272       12.568   714.9
0.4800        -1153.758    -1166.826       13.068   743.4
0.4850        -1153.832    -1166.684       12.852   731.1
0.4900        -1153.852    -1165.898       12.046   685.2
0.4950        -1153.797    -1165.292       11.496   653.9
0.5000        -1153.723    -1165.508       11.786   670.4
0.5050        -1153.699    -1166.022       12.323   701.0
0.5100        -1153.697    -1165.790       12.093   687.9
0.5150        -1153.636    -1164.764       11.128   633.0
0.5200        -1153.478    -1163.890       10.412   592.3
0.5250        -1153.297    -1164.004       10.707   609.1
0.5300        -1153.166    -1164.492       11.327   644.3
0.5350        -1153.091    -1164.868       11.777   669.9
0.5400        -1153.050    -1165.096       12.046   685.3
0.5450        -1153.046    -1165.638       12.592   716.3
0.5500        -1153.106    -1166.320       13.215   751.7
0.5550        -1153.215    -1166.726       13.510   768.5
0.5600        -1153.329    -1166.601       13.272   755.0
0.5650        -1153.408    -1166.302       12.894   733.5
0.5700        -1153.461    -1166.276       12.816   729.0
0.5750        -1153.522    -1166.561       13.039   741.7
0.5800        -1153.602    -1166.744       13.142   747.6
0.5850        -1153.679    -1166.612       12.933   735.7
0.5900        -1153.725    -1166.329       12.603   716.9
0.5950        -1153.749    -1166.197       12.448   708.1
0.6000        -1153.753    -1165.934       12.181   692.9
0.6050        -1153.720    -1165.437       11.717   666.5
0.6100        -1153.645    -1165.140       11.495   653.9
0.6150        -1153.581    -1165.582       12.001   682.7
0.6200        -1153.589    -1166.403       12.814   728.9
0.6250        -1153.655    -1166.618       12.963   737.4
0.6300        -1153.694    -1165.999       12.305   700.0
0.6350        -1153.658    -1165.247       11.588   659.2
0.6400        -1153.571    -1164.904       11.332   644.6
0.6450        -1153.467    -1164.606       11.138   633.6
0.6500        -1153.334    -1164.151       10.816   615.3
