Epoch,Train Loss,Validation Loss
0,24.833051,24.096119
1,24.799981,24.059289
2,24.758812,24.012045
3,24.706741,23.951355
4,24.6394,23.872422
5,24.548955,23.765379
6,24.429404,23.626019
7,24.27317,23.442757
8,24.070294,23.209534
9,23.814081,22.917461
10,23.4913,22.554201
11,23.100422,22.113655
12,22.616906,21.584844
13,22.051879,20.975211
14,21.416026,20.290652
15,20.696389,19.520876
16,19.915232,18.719618
17,19.106068,17.890858
18,18.261204,17.02286
19,17.387871,16.167179
20,16.551373,15.317122
21,15.69512,14.487262
22,14.871913,13.675137
23,14.101849,12.913005
24,13.368492,12.181646
25,12.643013,11.495963
26,12.014779,10.859074
27,11.430973,10.350977
28,10.869795,9.928237
29,10.382195,9.578578
30,9.937858,9.255235
31,9.532626,8.976453
32,9.1604,8.767456
33,8.864187,8.580916
34,8.5838,8.410507
35,8.344372,8.262742
36,8.136796,8.139374
37,7.957939,8.028108
38,7.806241,7.932019
39,7.680433,7.849236
40,7.583897,7.783923
41,7.501318,7.726332
42,7.437216,7.682582
43,7.384678,7.646829
44,7.342703,7.619403
45,7.309631,7.597759
46,7.286984,7.58264
47,7.269676,7.570661
48,7.256418,7.562108
49,7.246243,7.554674
