Epoch,Train Loss,Validation Loss
0,24.59595,22.956339
1,24.561332,22.919466
2,24.520529,22.874623
3,24.469779,22.817825
4,24.404069,22.745503
5,24.320119,22.653703
6,24.215364,22.540665
7,24.086364,22.406524
8,23.939414,22.251321
9,23.770218,22.080391
10,23.592302,21.901609
11,23.408017,21.718385
12,23.224299,21.539969
13,23.047614,21.373102
14,22.883725,21.218074
15,22.73609,21.083107
16,22.609937,20.9708
17,22.504116,20.877338
18,22.420427,20.805368
19,22.357742,20.752383
20,22.311221,20.714889
21,22.280839,20.691208
