Epoch,Train Loss,Validation Loss
0,24.555368,25.390089
1,24.527453,25.357529
2,24.488422,25.311646
3,24.434892,25.247893
4,24.359807,25.160498
5,24.254311,25.036377
6,24.111365,24.874492
7,23.922486,24.660241
8,23.677829,24.391025
9,23.372572,24.059284
10,23.002906,23.663514
11,22.571168,23.209896
12,22.081541,22.702679
13,21.540702,22.152281
14,20.956251,21.56254
15,20.343709,20.965
16,19.719715,20.356615
17,19.088588,19.750205
18,18.461951,19.155792
19,17.868199,18.588401
20,17.280356,18.047663
21,16.735601,17.533386
22,16.225711,17.065867
23,15.768325,16.639677
24,15.339669,16.24976
25,14.952383,15.902344
26,14.615667,15.597582
27,14.314955,15.330198
28,14.056665,15.098116
29,13.833579,14.901412
30,13.6497,14.739984
31,13.496754,14.608488
32,13.367664,14.499357
33,13.271487,14.41687
34,13.193662,14.352711
35,13.138101,14.307814
36,13.09783,14.275018
37,13.069476,14.252949
38,13.050528,14.238004
39,13.036825,14.226355
