Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1165.480    -1182.925       17.445   978.0
0.0050        -1164.744    -1181.228       16.484   924.1
0.0100        -1164.488    -1178.067       13.580   761.3
0.0150        -1163.956    -1175.394       11.438   641.2
0.0200        -1163.301    -1174.426       11.125   623.7
0.0250        -1162.622    -1173.208       10.586   593.4
0.0300        -1161.865    -1171.711        9.846   552.0
0.0350        -1161.021    -1170.325        9.304   521.6
0.0400        -1160.216    -1170.638       10.422   584.3
0.0450        -1159.524    -1170.875       11.351   636.3
0.0500        -1158.877    -1170.064       11.187   627.1
0.0550        -1158.185    -1169.014       10.829   607.1
0.0600        -1157.518    -1169.295       11.777   660.2
0.0650        -1156.950    -1169.481       12.531   702.5
0.0700        -1156.458    -1169.566       13.108   734.9
0.0750        -1155.951    -1168.414       12.463   698.7
0.0800        -1155.365    -1167.139       11.773   660.0
0.0850        -1154.810    -1167.665       12.855   720.7
0.0900        -1154.353    -1168.019       13.666   766.1
0.0950        -1153.926    -1167.679       13.753   771.0
0.1000        -1153.485    -1166.653       13.168   738.2
0.1050        -1152.969    -1165.707       12.737   714.1
0.1100        -1152.524    -1166.167       13.642   764.8
0.1150        -1152.104    -1165.802       13.698   767.9
0.1200        -1151.714    -1165.490       13.776   772.3
0.1250        -1151.316    -1165.129       13.814   774.4
0.1300        -1150.971    -1165.747       14.776   828.3
0.1350        -1150.747    -1166.479       15.732   881.9
0.1400        -1150.593    -1167.048       16.456   922.5
0.1450        -1150.476    -1167.144       16.669   934.5
0.1500        -1150.394    -1168.038       17.645   989.2
0.1550        -1150.420    -1168.600       18.180  1019.2
0.1600        -1150.454    -1168.236       17.782   996.9
0.1650        -1150.421    -1167.720       17.299   969.8
0.1700        -1150.354    -1167.180       16.826   943.3
0.1750        -1150.271    -1166.817       16.546   927.6
0.1800        -1150.128    -1166.642       16.515   925.8
0.1850        -1150.006    -1166.731       16.725   937.6
0.1900        -1149.897    -1166.660       16.763   939.7
0.1950        -1149.817    -1167.443       17.626   988.1
0.2000        -1149.799    -1167.985       18.186  1019.5
0.2050        -1149.844    -1168.358       18.514  1037.9
0.2100        -1149.974    -1169.494       19.520  1094.3
0.2150        -1150.107    -1169.022       18.915  1060.4
0.2200        -1150.135    -1167.847       17.711   992.9
0.2250        -1150.112    -1167.366       17.254   967.3
0.2300        -1150.051    -1166.787       16.736   938.2
