Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1168.069    -1177.369        9.300   529.1
0.0050        -1168.058    -1176.564        8.505   483.8
0.0100        -1167.958    -1174.860        6.903   392.7
0.0150        -1167.710    -1173.476        5.766   328.0
0.0200        -1167.389    -1172.835        5.446   309.8
0.0250        -1167.047    -1172.284        5.237   297.9
0.0300        -1166.674    -1171.516        4.842   275.4
0.0350        -1166.270    -1170.998        4.728   269.0
0.0400        -1165.877    -1170.954        5.077   288.8
0.0450        -1165.523    -1170.921        5.398   307.0
0.0500        -1165.185    -1170.564        5.379   306.0
0.0550        -1164.842    -1170.229        5.387   306.5
0.0600        -1164.520    -1170.422        5.902   335.7
0.0650        -1164.267    -1170.946        6.679   379.9
0.0700        -1164.075    -1171.032        6.957   395.7
0.0750        -1163.878    -1170.485        6.606   375.8
0.0800        -1163.643    -1169.958        6.315   359.2
0.0850        -1163.400    -1169.860        6.461   367.5
0.0900        -1163.175    -1169.789        6.614   376.2
0.0950        -1162.953    -1169.429        6.476   368.4
0.1000        -1162.711    -1168.976        6.265   356.4
0.1050        -1162.457    -1168.749        6.292   357.9
0.1100        -1162.217    -1168.759        6.542   372.1
0.1150        -1162.007    -1168.887        6.880   391.4
0.1200        -1161.833    -1169.133        7.300   415.2
0.1250        -1161.705    -1169.443        7.738   440.2
0.1300        -1161.611    -1169.540        7.929   451.1
0.1350        -1161.519    -1169.265        7.746   440.6
0.1400        -1161.398    -1168.818        7.420   422.1
0.1450        -1161.260    -1168.750        7.490   426.1
0.1500        -1161.152    -1169.182        8.029   456.8
0.1550        -1161.101    -1169.612        8.511   484.1
0.1600        -1161.083    -1169.776        8.693   494.5
0.1650        -1161.076    -1169.800        8.724   496.3
0.1700        -1161.069    -1169.777        8.707   495.3
0.1750        -1161.056    -1169.602        8.546   486.1
0.1800        -1161.019    -1169.266        8.247   469.1
0.1850        -1160.952    -1168.984        8.031   456.9
0.1900        -1160.881    -1169.059        8.178   465.2
0.1950        -1160.836    -1169.369        8.534   485.4
0.2000        -1160.825    -1169.651        8.827   502.1
0.2050        -1160.839    -1169.879        9.040   514.2
