Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1174.465    -1182.925        8.461   474.3
0.0050        -1174.300    -1182.264        7.964   446.5
0.0100        -1174.147    -1180.816        6.669   373.8
0.0150        -1173.867    -1179.395        5.528   309.9
0.0200        -1173.498    -1178.460        4.963   278.2
0.0250        -1173.092    -1177.850        4.758   266.7
0.0300        -1172.670    -1177.285        4.615   258.7
0.0350        -1172.236    -1176.804        4.568   256.1
0.0400        -1171.809    -1176.615        4.806   269.4
0.0450        -1171.416    -1176.637        5.221   292.7
0.0500        -1171.064    -1176.643        5.579   312.8
0.0550        -1170.737    -1176.473        5.735   321.5
0.0600        -1170.425    -1176.347        5.921   332.0
0.0650        -1170.142    -1176.439        6.298   353.1
0.0700        -1169.896    -1176.531        6.635   372.0
0.0750        -1169.669    -1176.285        6.616   370.9
0.0800        -1169.428    -1175.783        6.355   356.3
0.0850        -1169.161    -1175.324        6.162   345.5
0.0900        -1168.884    -1175.051        6.167   345.7
0.0950        -1168.614    -1174.880        6.266   351.3
0.1000        -1168.346    -1174.535        6.188   346.9
0.1050        -1168.068    -1174.186        6.118   343.0
0.1100        -1167.794    -1174.097        6.303   353.4
0.1150        -1167.551    -1174.276        6.725   377.0
0.1200        -1167.350    -1174.435        7.086   397.2
0.1250        -1167.176    -1174.474        7.299   409.2
0.1300        -1167.025    -1174.626        7.601   426.1
0.1350        -1166.910    -1174.851        7.942   445.2
0.1400        -1166.820    -1174.901        8.081   453.0
0.1450        -1166.737    -1174.825        8.088   453.4
0.1500        -1166.657    -1174.826        8.170   458.0
0.1550        -1166.589    -1174.903        8.315   466.1
0.1600        -1166.536    -1175.034        8.497   476.4
0.1650        -1166.499    -1175.068        8.569   480.4
0.1700        -1166.467    -1175.125        8.658   485.4
0.1750        -1166.442    -1175.105        8.664   485.7
0.1800        -1166.417    -1175.049        8.633   483.9
0.1850        -1166.387    -1174.995        8.608   482.6
0.1900        -1166.356    -1174.949        8.594   481.8
0.1950        -1166.321    -1174.871        8.550   479.3
0.2000        -1166.283    -1174.875        8.591   481.6
0.2050        -1166.262    -1175.119        8.857   496.5
0.2100        -1166.264    -1175.246        8.982   503.5
0.2150        -1166.273    -1175.262        8.989   503.9
0.2200        -1166.268    -1174.994        8.726   489.2
0.2250        -1166.240    -1174.857        8.617   483.1
0.2300        -1166.213    -1174.979        8.766   491.5
0.2350        -1166.208    -1175.217        9.010   505.1
0.2400        -1166.218    -1175.269        9.050   507.4
0.2450        -1166.232    -1175.375        9.142   512.5
0.2500        -1166.256    -1175.385        9.129   511.8
0.2550        -1166.264    -1175.200        8.936   501.0
0.2600        -1166.259    -1175.093        8.834   495.2
0.2650        -1166.248    -1175.111        8.863   496.9
0.2700        -1166.248    -1175.247        8.999   504.5
0.2750        -1166.263    -1175.503        9.240   518.0
0.2800        -1166.317    -1176.033        9.715   544.7
0.2850        -1166.406    -1176.231        9.825   550.8
0.2900        -1166.481    -1175.790        9.309   521.9
0.2950        -1166.478    -1174.875        8.397   470.7
0.3000        -1166.399    -1174.304        7.905   443.1
0.3050        -1166.299    -1174.292        7.993   448.1
0.3100        -1166.219    -1174.471        8.252   462.6
0.3150        -1166.152    -1174.369        8.216   460.6
0.3200        -1166.075    -1174.153        8.078   452.9
0.3250        -1165.983    -1173.967        7.984   447.6
0.3300        -1165.895    -1174.040        8.145   456.6
0.3350        -1165.827    -1174.123        8.297   465.1
0.3400        -1165.762    -1173.996        8.234   461.6
0.3450        -1165.695    -1173.987        8.292   464.9
0.3500        -1165.647    -1174.284        8.638   484.2
0.3550        -1165.638    -1174.587        8.948   501.6
0.3600        -1165.641    -1174.479        8.837   495.4
0.3650        -1165.628    -1174.322        8.694   487.4
0.3700        -1165.610    -1174.418        8.808   493.8
0.3750        -1165.616    -1174.711        9.095   509.8
0.3800        -1165.638    -1174.666        9.028   506.1
0.3850        -1165.634    -1174.266        8.633   484.0
0.3900        -1165.586    -1173.862        8.276   463.9
0.3950        -1165.521    -1173.825        8.304   465.5
0.4000        -1165.468    -1173.927        8.460   474.3
0.4050        -1165.424    -1173.934        8.510   477.1
0.4100        -1165.387    -1174.048        8.661   485.6
0.4150        -1165.382    -1174.536        9.154   513.2
0.4200        -1165.427    -1175.029        9.602   538.3
0.4250        -1165.503    -1175.218        9.714   544.6
0.4300        -1165.574    -1175.078        9.504   532.8
0.4350        -1165.623    -1174.943        9.320   522.5
0.4400        -1165.653    -1174.723        9.070   508.5
0.4450        -1165.651    -1174.325        8.674   486.3
0.4500        -1165.599    -1173.679        8.081   453.0
0.4550        -1165.493    -1173.194        7.701   431.7
0.4600        -1165.371    -1173.171        7.800   437.3
0.4650        -1165.278    -1173.557        8.280   464.2
0.4700        -1165.230    -1173.875        8.645   484.7
0.4750        -1165.211    -1174.099        8.888   498.3
0.4800        -1165.220    -1174.425        9.205   516.0
0.4850        -1165.260    -1174.767        9.507   532.9
0.4900        -1165.334    -1175.194        9.860   552.7
0.4950        -1165.442    -1175.531       10.089   565.6
0.5000        -1165.551    -1175.415        9.864   553.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1171.162    -1180.286        9.125   515.3
0.0050        -1171.202    -1179.550        8.349   471.5
0.0100        -1171.081    -1177.945        6.864   387.6
0.0150        -1170.823    -1176.613        5.790   327.0
0.0200        -1170.496    -1176.021        5.525   312.0
0.0250        -1170.160    -1175.648        5.488   309.9
0.0300        -1169.811    -1175.097        5.286   298.5
0.0350        -1169.447    -1174.700        5.253   296.6
0.0400        -1169.093    -1174.600        5.507   311.0
0.0450        -1168.768    -1174.460        5.692   321.4
0.0500        -1168.437    -1173.820        5.383   304.0
0.0550        -1168.069    -1173.070        5.001   282.4
0.0600        -1167.678    -1172.783        5.105   288.3
0.0650        -1167.331    -1173.073        5.742   324.3
0.0700        -1167.042    -1173.233        6.192   349.6
0.0750        -1166.786    -1173.087        6.301   355.8
0.0800        -1166.528    -1172.693        6.165   348.1
0.0850        -1166.267    -1172.538        6.271   354.1
0.0900        -1166.024    -1172.544        6.520   368.2
0.0950        -1165.801    -1172.380        6.579   371.5
0.1000        -1165.556    -1171.750        6.194   349.8
0.1050        -1165.282    -1171.393        6.111   345.1
0.1100        -1165.012    -1171.391        6.380   360.3
0.1150        -1164.782    -1171.529        6.747   381.0
0.1200        -1164.566    -1171.269        6.703   378.5
0.1250        -1164.354    -1171.190        6.836   386.0
0.1300        -1164.170    -1171.507        7.336   414.3
0.1350        -1164.057    -1172.169        8.113   458.1
0.1400        -1164.004    -1172.459        8.455   477.4
0.1450        -1163.975    -1172.565        8.590   485.1
0.1500        -1163.953    -1172.515        8.562   483.5
0.1550        -1163.931    -1172.647        8.715   492.2
0.1600        -1163.934    -1172.894        8.960   506.0
0.1650        -1163.950    -1172.844        8.894   502.2
0.1700        -1163.950    -1172.583        8.633   487.5
0.1750        -1163.925    -1172.359        8.435   476.3
0.1800        -1163.887    -1172.264        8.377   473.0
0.1850        -1163.846    -1172.237        8.391   473.9
0.1900        -1163.809    -1172.283        8.474   478.5
0.1950        -1163.778    -1172.331        8.553   483.0
0.2000        -1163.756    -1172.292        8.536   482.0
0.2050        -1163.717    -1171.982        8.264   466.7
0.2100        -1163.646    -1171.614        7.968   450.0
0.2150        -1163.558    -1171.562        8.004   452.0
0.2200        -1163.485    -1171.723        8.238   465.2
0.2250        -1163.441    -1171.888        8.448   477.0
0.2300        -1163.401    -1171.830        8.428   475.9
0.2350        -1163.365    -1171.858        8.492   479.6
0.2400        -1163.346    -1172.094        8.749   494.0
0.2450        -1163.356    -1172.426        9.070   512.2
0.2500        -1163.390    -1172.495        9.105   514.2
0.2550        -1163.416    -1172.417        9.001   508.3
0.2600        -1163.433    -1172.445        9.012   508.9
0.2650        -1163.469    -1172.847        9.378   529.6
0.2700        -1163.544    -1173.283        9.740   550.0
0.2750        -1163.645    -1173.551        9.906   559.4
0.2800        -1163.749    -1173.536        9.786   552.6
0.2850        -1163.833    -1173.452        9.619   543.2
0.2900        -1163.897    -1173.246        9.349   527.9
0.2950        -1163.923    -1172.742        8.820   498.0
0.3000        -1163.896    -1172.151        8.255   466.2
0.3050        -1163.818    -1171.732        7.915   446.9
0.3100        -1163.735    -1171.785        8.049   454.5
0.3150        -1163.660    -1171.665        8.005   452.0
0.3200        -1163.573    -1171.375        7.802   440.6
0.3250        -1163.466    -1171.165        7.699   434.8
0.3300        -1163.368    -1171.404        8.036   453.8
0.3350        -1163.294    -1171.470        8.176   461.7
0.3400        -1163.223    -1171.442        8.218   464.1
0.3450        -1163.158    -1171.442        8.284   467.8
0.3500        -1163.105    -1171.603        8.498   479.9
0.3550        -1163.081    -1171.793        8.712   491.9
0.3600        -1163.072    -1171.885        8.814   497.7
0.3650        -1163.076    -1172.047        8.971   506.6
0.3700        -1163.099    -1172.227        9.128   515.4
0.3750        -1163.129    -1172.243        9.114   514.7
0.3800        -1163.147    -1172.024        8.877   501.3
0.3850        -1163.142    -1171.790        8.649   488.4
0.3900        -1163.102    -1171.314        8.211   463.7
0.3950        -1163.027    -1170.932        7.905   446.4
0.4000        -1162.919    -1170.632        7.713   435.6
0.4050        -1162.807    -1170.679        7.872   444.5
0.4100        -1162.716    -1170.863        8.146   460.0
0.4150        -1162.664    -1171.310        8.646   488.2
0.4200        -1162.657    -1171.677        9.019   509.3
0.4250        -1162.685    -1172.004        9.319   526.3
0.4300        -1162.746    -1172.365        9.619   543.2
0.4350        -1162.833    -1172.709        9.876   557.7
0.4400        -1162.947    -1172.914        9.967   562.8
0.4450        -1163.050    -1172.655        9.606   542.4
0.4500        -1163.112    -1172.271        9.158   517.2
0.4550        -1163.125    -1171.766        8.642   488.0
0.4600        -1163.106    -1171.742        8.636   487.7
0.4650        -1163.111    -1172.151        9.040   510.5
0.4700        -1163.148    -1172.357        9.209   520.0
0.4750        -1163.166    -1171.864        8.698   491.2
0.4800        -1163.129    -1171.380        8.250   465.9
0.4850        -1163.065    -1171.295        8.230   464.7
0.4900        -1163.017    -1171.605        8.588   484.9
0.4950        -1162.999    -1171.794        8.795   496.7
0.5000        -1163.002    -1172.010        9.008   508.7
0.5050        -1163.025    -1172.249        9.224   520.9
0.5100        -1163.074    -1172.522        9.448   533.5
0.5150        -1163.135    -1172.484        9.349   528.0
0.5200        -1163.177    -1172.256        9.079   512.7
0.5250        -1163.194    -1172.038        8.845   499.5
0.5300        -1163.195    -1171.978        8.783   496.0
0.5350        -1163.184    -1171.717        8.532   481.8
0.5400        -1163.151    -1171.597        8.445   476.9
0.5450        -1163.114    -1171.621        8.507   480.4
0.5500        -1163.101    -1171.968        8.868   500.7
0.5550        -1163.115    -1172.071        8.956   505.7
0.5600        -1163.125    -1171.938        8.813   497.7
0.5650        -1163.113    -1171.718        8.605   485.9
0.5700        -1163.094    -1171.892        8.798   496.8
0.5750        -1163.093    -1172.047        8.954   505.6
0.5800        -1163.109    -1172.237        9.128   515.5
0.5850        -1163.126    -1172.011        8.885   501.7
0.5900        -1163.119    -1171.827        8.708   491.7
0.5950        -1163.101    -1171.811        8.711   491.9
0.6000        -1163.102    -1172.139        9.037   510.3
0.6050        -1163.130    -1172.293        9.163   517.4
0.6100        -1163.163    -1172.243        9.080   512.8
0.6150        -1163.171    -1171.832        8.661   489.1
0.6200        -1163.142    -1171.548        8.406   474.7
0.6250        -1163.098    -1171.483        8.385   473.5
0.6300        -1163.065    -1171.665        8.600   485.7
0.6350        -1163.053    -1171.786        8.734   493.2
0.6400        -1163.051    -1171.873        8.822   498.2
0.6450        -1163.050    -1171.817        8.768   495.1
0.6500        -1163.047    -1171.885        8.838   499.1
0.6550        -1163.052    -1171.963        8.911   503.2
0.6600        -1163.065    -1172.100        9.034   510.2
0.6650        -1163.082    -1172.045        8.963   506.1
0.6700        -1163.084    -1171.888        8.804   497.1
0.6750        -1163.061    -1171.519        8.458   477.6
0.6800        -1163.010    -1171.329        8.318   469.7
0.6850        -1162.953    -1171.267        8.314   469.5
0.6900        -1162.895    -1171.136        8.241   465.4
0.6950        -1162.826    -1170.916        8.091   456.9
0.7000        -1162.754    -1170.970        8.216   463.9
0.7050        -1162.690    -1171.024        8.334   470.6
0.7100        -1162.643    -1171.286        8.643   488.1
0.7150        -1162.638    -1171.750        9.113   514.6
0.7200        -1162.674    -1172.098        9.424   532.2
0.7250        -1162.739    -1172.234        9.495   536.2
0.7300        -1162.804    -1172.178        9.375   529.4
0.7350        -1162.856    -1172.205        9.349   527.9
0.7400        -1162.914    -1172.301        9.387   530.1
0.7450        -1162.975    -1172.401        9.427   532.3
0.7500        -1163.033    -1172.358        9.324   526.5
0.7550        -1163.077    -1172.283        9.205   519.8
0.7600        -1163.099    -1172.078        8.979   507.1
0.7650        -1163.099    -1171.888        8.789   496.3
0.7700        -1163.101    -1172.003        8.902   502.7
0.7750        -1163.110    -1172.067        8.956   505.8
0.7800        -1163.123    -1172.164        9.041   510.5
0.7850        -1163.142    -1172.252        9.110   514.4
0.7900        -1163.173    -1172.399        9.226   521.0
0.7950        -1163.209    -1172.434        9.225   520.9
0.8000        -1163.245    -1172.581        9.336   527.2
0.8050        -1163.294    -1172.758        9.464   534.4
0.8100        -1163.351    -1172.766        9.414   531.6
0.8150        -1163.396    -1172.490        9.094   513.5
0.8200        -1163.398    -1171.946        8.549   482.7
0.8250        -1163.353    -1171.518        8.165   461.1
0.8300        -1163.284    -1171.387        8.103   457.6
0.8350        -1163.220    -1171.509        8.289   468.1
0.8400        -1163.179    -1171.674        8.495   479.7
0.8450        -1163.150    -1171.680        8.529   481.7
0.8500        -1163.114    -1171.535        8.421   475.5
0.8550        -1163.072    -1171.565        8.493   479.6
0.8600        -1163.038    -1171.585        8.547   482.7
0.8650        -1163.000    -1171.457        8.457   477.6
0.8700        -1162.944    -1171.185        8.241   465.4
0.8750        -1162.879    -1171.256        8.377   473.0
0.8800        -1162.847    -1171.731        8.884   501.7
0.8850        -1162.865    -1172.127        9.261   523.0
0.8900        -1162.899    -1172.069        9.170   517.8
0.8950        -1162.917    -1171.937        9.020   509.4
0.9000        -1162.926    -1171.940        9.014   509.0
0.9050        -1162.942    -1172.012        9.070   512.2
0.9100        -1162.954    -1171.882        8.928   504.1
0.9150        -1162.954    -1171.796        8.842   499.3
0.9200        -1162.956    -1171.926        8.970   506.5
0.9250        -1162.978    -1172.212        9.234   521.5
0.9300        -1163.018    -1172.209        9.191   519.0
0.9350        -1163.032    -1171.804        8.772   495.4
0.9400        -1163.006    -1171.485        8.479   478.8
0.9450        -1162.969    -1171.628        8.659   489.0
0.9500        -1162.967    -1172.035        9.068   512.0
0.9550        -1162.997    -1172.288        9.291   524.7
0.9600        -1163.040    -1172.337        9.297   525.0
0.9650        -1163.074    -1172.294        9.220   520.6
0.9700        -1163.109    -1172.339        9.229   521.2
0.9750        -1163.137    -1172.240        9.103   514.0
0.9800        -1163.150    -1172.043        8.893   502.2
0.9850        -1163.149    -1171.991        8.842   499.3
0.9900        -1163.161    -1172.338        9.177   518.2
0.9950        -1163.214    -1172.759        9.544   539.0
1.0000        -1163.287    -1172.789        9.502   536.6
1.0050        -1163.331    -1172.407        9.076   512.5
1.0100        -1163.344    -1172.279        8.935   504.6
1.0150        -1163.355    -1172.349        8.995   507.9
1.0200        -1163.368    -1172.198        8.830   498.6
1.0250        -1163.340    -1171.550        8.210   463.6
1.0300        -1163.259    -1171.141        7.881   445.1
1.0350        -1163.173    -1171.264        8.091   456.9
1.0400        -1163.119    -1171.547        8.428   475.9
1.0450        -1163.081    -1171.410        8.329   470.3
1.0500        -1163.021    -1171.078        8.057   455.0
1.0550        -1162.944    -1170.993        8.049   454.5
1.0600        -1162.883    -1171.259        8.375   473.0
1.0650        -1162.856    -1171.464        8.608   486.1
1.0700        -1162.837    -1171.408        8.571   484.0
1.0750        -1162.811    -1171.369        8.558   483.3
1.0800        -1162.801    -1171.761        8.960   506.0
1.0850        -1162.840    -1172.320        9.480   535.3
1.0900        -1162.918    -1172.583        9.665   545.8
1.0950        -1162.989    -1172.359        9.370   529.1
1.1000        -1163.027    -1172.116        9.089   513.2
1.1050        -1163.049    -1172.110        9.061   511.7
1.1100        -1163.077    -1172.278        9.202   519.6
1.1150        -1163.122    -1172.443        9.321   526.4
1.1200        -1163.175    -1172.593        9.418   531.8
1.1250        -1163.240    -1172.786        9.547   539.1
1.1300        -1163.309    -1172.732        9.424   532.1
1.1350        -1163.345    -1172.194        8.849   499.7
1.1400        -1163.318    -1171.634        8.317   469.6
1.1450        -1163.263    -1171.642        8.379   473.2
1.1500        -1163.237    -1172.113        8.876   501.2
1.1550        -1163.256    -1172.474        9.218   520.5
1.1600        -1163.296    -1172.494        9.198   519.4
1.1650        -1163.329    -1172.449        9.120   515.0
1.1700        -1163.341    -1172.159        8.819   498.0
1.1750        -1163.320    -1171.785        8.465   478.0
1.1800        -1163.272    -1171.508        8.235   465.1
1.1850        -1163.212    -1171.453        8.241   465.4
1.1900        -1163.161    -1171.609        8.447   477.0
1.1950        -1163.125    -1171.614        8.489   479.4
1.2000        -1163.081    -1171.362        8.281   467.7
1.2050        -1163.009    -1170.978        7.969   450.0
1.2100        -1162.911    -1170.783        7.872   444.5
1.2150        -1162.821    -1171.021        8.199   463.0
1.2200        -1162.780    -1171.576        8.797   496.7
1.2250        -1162.792    -1172.005        9.213   520.3
1.2300        -1162.828    -1172.061        9.233   521.4
1.2350        -1162.855    -1171.943        9.088   513.2
1.2400        -1162.877    -1172.093        9.216   520.4
1.2450        -1162.926    -1172.496        9.570   540.4
1.2500        -1163.015    -1172.943        9.927   560.6
1.2550        -1163.123    -1172.971        9.848   556.1
1.2600        -1163.206    -1172.614        9.408   531.3
1.2650        -1163.233    -1172.020        8.787   496.2
1.2700        -1163.206    -1171.604        8.398   474.2
1.2750        -1163.154    -1171.523        8.368   472.6
1.2800        -1163.115    -1171.748        8.632   487.5
1.2850        -1163.100    -1171.888        8.788   496.3
1.2900        -1163.093    -1171.908        8.815   497.8
1.2950        -1163.081    -1171.765        8.684   490.4
1.3000        -1163.053    -1171.526        8.473   478.5
1.3050        -1163.007    -1171.365        8.357   471.9
1.3100        -1162.965    -1171.503        8.538   482.1
1.3150        -1162.948    -1171.764        8.815   497.8
1.3200        -1162.950    -1171.730        8.781   495.8
1.3250        -1162.939    -1171.691        8.752   494.2
1.3300        -1162.940    -1171.770        8.829   498.6
1.3350        -1162.927    -1171.407        8.480   478.9
1.3400        -1162.867    -1170.828        7.960   449.5
1.3450        -1162.771    -1170.619        7.848   443.2
1.3500        -1162.690    -1171.068        8.378   473.1
1.3550        -1162.693    -1172.179        9.485   535.6
1.3600        -1162.791    -1172.858       10.067   568.5
1.3650        -1162.901    -1172.709        9.808   553.8
1.3700        -1162.987    -1172.695        9.708   548.2
1.3750        -1163.064    -1172.574        9.510   537.0
1.3800        -1163.120    -1172.466        9.346   527.7
1.3850        -1163.166    -1172.451        9.284   524.3
1.3900        -1163.208    -1172.474        9.266   523.3
1.3950        -1163.253    -1172.598        9.345   527.7
1.4000        -1163.302    -1172.558        9.257   522.7
1.4050        -1163.334    -1172.358        9.024   509.6
1.4100        -1163.332    -1171.974        8.642   488.0
1.4150        -1163.309    -1172.007        8.698   491.2
1.4200        -1163.307    -1172.278        8.970   506.6
1.4250        -1163.327    -1172.488        9.160   517.3
1.4300        -1163.353    -1172.265        8.912   503.3
1.4350        -1163.331    -1171.729        8.397   474.2
1.4400        -1163.282    -1171.700        8.417   475.3
1.4450        -1163.239    -1171.801        8.562   483.5
1.4500        -1163.225    -1172.108        8.883   501.6
1.4550        -1163.229    -1172.165        8.936   504.6
1.4600        -1163.229    -1171.981        8.752   494.2
1.4650        -1163.208    -1171.765        8.557   483.2
1.4700        -1163.177    -1171.717        8.540   482.3
1.4750        -1163.143    -1171.596        8.453   477.4
1.4800        -1163.097    -1171.367        8.270   467.0
1.4850        -1163.032    -1171.217        8.185   462.2
