Epoch,Train Loss,Validation Loss
0,24.201174,25.355093
1,24.186972,25.340383
2,24.171465,25.324081
3,24.154241,25.305653
4,24.134038,25.284607
5,24.111424,25.260862
6,24.086066,25.234777
7,24.05844,25.206848
8,24.028251,25.177006
9,23.997332,25.146001
10,23.965006,25.114249
11,23.932469,25.083156
12,23.900713,25.052957
13,23.870793,25.024965
14,23.843019,24.999378
15,23.817874,24.976541
16,23.796365,24.957549
17,23.778302,24.9418
18,23.763834,24.929467
19,23.752727,24.920291
20,23.74461,24.913858
21,23.739167,24.909672
22,23.735771,24.907182
23,23.733819,24.90583
24,23.732755,24.905054
