Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1171.837    -1182.925       11.089   621.6
0.0050        -1171.819    -1182.105       10.285   576.6
0.0100        -1171.696    -1180.287        8.591   481.6
0.0150        -1171.412    -1178.577        7.164   401.6
0.0200        -1171.034    -1177.787        6.753   378.6
0.0250        -1170.637    -1177.238        6.601   370.0
0.0300        -1170.205    -1176.309        6.104   342.2
0.0350        -1169.736    -1175.680        5.944   333.2
0.0400        -1169.269    -1175.609        6.340   355.4
0.0450        -1168.868    -1175.940        7.072   396.4
0.0500        -1168.513    -1175.637        7.123   399.3
0.0550        -1168.139    -1174.896        6.758   378.8
0.0600        -1167.735    -1174.337        6.603   370.1
0.0650        -1167.341    -1174.424        7.083   397.1
0.0700        -1167.022    -1174.961        7.938   445.0
0.0750        -1166.769    -1175.117        8.348   468.0
0.0800        -1166.536    -1174.760        8.224   461.1
0.0850        -1166.268    -1174.076        7.808   437.7
0.0900        -1165.976    -1173.665        7.689   431.1
0.0950        -1165.676    -1173.318        7.643   428.5
0.1000        -1165.365    -1172.707        7.342   411.6
0.1050        -1165.000    -1171.684        6.684   374.7
0.1100        -1164.581    -1170.976        6.395   358.5
0.1150        -1164.181    -1171.380        7.198   403.5
0.1200        -1163.889    -1172.352        8.463   474.4
0.1250        -1163.695    -1172.775        9.080   509.0
0.1300        -1163.545    -1172.824        9.279   520.2
0.1350        -1163.404    -1172.810        9.406   527.3
0.1400        -1163.299    -1173.240        9.941   557.3
0.1450        -1163.247    -1173.680       10.432   584.8
0.1500        -1163.231    -1173.775       10.544   591.1
0.1550        -1163.193    -1173.247       10.054   563.6
0.1600        -1163.111    -1172.987        9.876   553.6
0.1650        -1163.035    -1173.296       10.262   575.3
0.1700        -1163.001    -1173.547       10.547   591.2
0.1750        -1162.985    -1173.417       10.432   584.8
0.1800        -1162.950    -1173.009       10.060   563.9
0.1850        -1162.877    -1172.711        9.834   551.3
0.1900        -1162.798    -1172.834       10.036   562.6
0.1950        -1162.747    -1173.169       10.421   584.2
0.2000        -1162.731    -1173.365       10.634   596.1
0.2050        -1162.716    -1173.244       10.528   590.2
0.2100        -1162.703    -1173.350       10.647   596.9
0.2150        -1162.700    -1173.407       10.708   600.3
0.2200        -1162.707    -1173.543       10.836   607.5
0.2250        -1162.709    -1173.375       10.665   597.9
0.2300        -1162.691    -1173.250       10.560   592.0
0.2350        -1162.669    -1173.227       10.558   591.9
0.2400        -1162.653    -1173.452       10.799   605.4
0.2450        -1162.673    -1173.761       11.089   621.6
0.2500        -1162.708    -1173.807       11.098   622.2
0.2550        -1162.738    -1173.627       10.889   610.4
0.2600        -1162.759    -1173.846       11.087   621.6
0.2650        -1162.823    -1174.541       11.718   656.9
0.2700        -1162.938    -1174.995       12.057   675.9
0.2750        -1163.067    -1174.954       11.888   666.4
0.2800        -1163.153    -1174.500       11.347   636.1
0.2850        -1163.193    -1174.074       10.881   610.0
0.2900        -1163.181    -1173.505       10.324   578.8
0.2950        -1163.120    -1172.886        9.766   547.5
0.3000        -1163.015    -1172.345        9.330   523.0
0.3050        -1162.878    -1172.119        9.241   518.0
0.3100        -1162.753    -1172.324        9.571   536.6
0.3150        -1162.658    -1172.529        9.872   553.4
0.3200        -1162.576    -1172.464        9.888   554.3
0.3250        -1162.489    -1172.385        9.896   554.8
0.3300        -1162.403    -1172.376        9.973   559.1
0.3350        -1162.323    -1172.361       10.038   562.7
0.3400        -1162.265    -1172.621       10.356   580.6
0.3450        -1162.237    -1172.711       10.474   587.2
0.3500        -1162.216    -1172.564       10.348   580.1
0.3550        -1162.179    -1172.374       10.194   571.5
0.3600        -1162.133    -1172.339       10.206   572.2
0.3650        -1162.087    -1172.278       10.191   571.3
0.3700        -1162.041    -1172.251       10.210   572.4
0.3750        -1161.992    -1172.147       10.155   569.3
0.3800        -1161.932    -1171.990       10.058   563.8
0.3850        -1161.864    -1171.948       10.083   565.3
0.3900        -1161.819    -1172.244       10.425   584.4
0.3950        -1161.805    -1172.563       10.758   603.1
