Epoch,Train Loss,Validation Loss
0,24.679513,25.057814
1,24.110319,23.978959
2,22.044828,20.507366
3,16.693011,13.126779
4,8.966231,5.230252
5,5.491963,3.433261
6,5.183974,3.49541
7,5.078476,3.486653
8,4.972613,3.552754
9,4.890025,3.47134
10,4.66126,3.326536
11,4.235641,3.112789
12,3.690534,3.101761
13,3.424691,3.055384
14,3.113085,3.10188
15,2.857739,3.158953
16,2.640555,3.137317
17,2.41104,3.031571
18,2.341169,3.119656
19,2.213108,3.182766
20,2.136898,3.2415
21,2.080986,3.241044
22,2.047563,3.233992
23,2.030289,3.242196
24,2.018842,3.243225
