Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1169.735    -1182.925       13.191   739.5
0.0050        -1169.757    -1182.002       12.245   686.5
0.0100        -1169.646    -1179.970       10.324   578.8
0.0150        -1169.351    -1178.153        8.802   493.5
0.0200        -1168.951    -1177.169        8.218   460.7
0.0250        -1168.506    -1176.283        7.777   436.0
0.0300        -1168.005    -1175.069        7.063   396.0
0.0350        -1167.436    -1174.001        6.565   368.0
0.0400        -1166.856    -1173.815        6.959   390.1
0.0450        -1166.344    -1174.148        7.804   437.5
0.0500        -1165.904    -1174.110        8.207   460.1
0.0550        -1165.467    -1173.413        7.946   445.5
0.0600        -1165.014    -1173.066        8.052   451.4
0.0650        -1164.606    -1173.429        8.823   494.6
0.0700        -1164.280    -1173.792        9.512   533.2
0.0750        -1163.984    -1173.251        9.267   519.5
0.0800        -1163.625    -1172.021        8.396   470.7
0.0850        -1163.194    -1171.190        7.996   448.3
0.0900        -1162.768    -1171.292        8.523   477.8
0.0950        -1162.399    -1171.371        8.972   503.0
0.1000        -1162.050    -1170.952        8.902   499.0
0.1050        -1161.675    -1170.296        8.621   483.3
0.1100        -1161.297    -1170.276        8.979   503.3
0.1150        -1160.982    -1170.797        9.816   550.3
0.1200        -1160.750    -1171.330       10.580   593.1
0.1250        -1160.580    -1171.581       11.001   616.7
0.1300        -1160.445    -1171.780       11.336   635.5
0.1350        -1160.342    -1171.964       11.621   651.5
0.1400        -1160.255    -1171.840       11.585   649.5
0.1450        -1160.150    -1171.422       11.272   631.9
0.1500        -1160.014    -1171.037       11.023   617.9
0.1550        -1159.872    -1171.042       11.170   626.2
0.1600        -1159.761    -1171.526       11.764   659.5
0.1650        -1159.716    -1171.979       12.263   687.5
0.1700        -1159.685    -1171.743       12.058   676.0
0.1750        -1159.620    -1171.282       11.662   653.8
0.1800        -1159.532    -1171.156       11.624   651.6
0.1850        -1159.447    -1171.133       11.685   655.1
0.1900        -1159.370    -1171.148       11.778   660.3
0.1950        -1159.298    -1171.098       11.800   661.5
0.2000        -1159.237    -1171.303       12.067   676.5
0.2050        -1159.211    -1171.626       12.415   696.0
0.2100        -1159.208    -1171.735       12.528   702.3
0.2150        -1159.214    -1171.839       12.625   707.8
0.2200        -1159.227    -1171.896       12.669   710.3
0.2250        -1159.247    -1172.006       12.759   715.3
0.2300        -1159.277    -1172.144       12.867   721.3
0.2350        -1159.320    -1172.307       12.988   728.1
0.2400        -1159.368    -1172.344       12.977   727.5
0.2450        -1159.414    -1172.371       12.956   726.3
0.2500        -1159.457    -1172.371       12.913   723.9
0.2550        -1159.504    -1172.569       13.065   732.4
0.2600        -1159.586    -1173.217       13.632   764.2
0.2650        -1159.733    -1174.022       14.289   801.1
0.2700        -1159.923    -1174.271       14.348   804.4
0.2750        -1160.086    -1173.748       13.663   765.9
0.2800        -1160.160    -1172.858       12.698   711.9
0.2850        -1160.155    -1172.336       12.181   682.9
0.2900        -1160.122    -1172.233       12.110   678.9
0.2950        -1160.088    -1172.204       12.117   679.3
0.3000        -1160.044    -1171.888       11.844   664.0
0.3050        -1159.963    -1171.373       11.410   639.6
0.3100        -1159.839    -1170.845       11.006   617.0
0.3150        -1159.690    -1170.672       10.982   615.6
0.3200        -1159.547    -1170.608       11.061   620.1
0.3250        -1159.409    -1170.535       11.126   623.7
0.3300        -1159.280    -1170.609       11.330   635.2
0.3350        -1159.184    -1170.974       11.791   661.0
0.3400        -1159.132    -1171.256       12.124   679.7
0.3450        -1159.100    -1171.264       12.164   681.9
0.3500        -1159.058    -1170.986       11.928   668.7
0.3550        -1158.990    -1170.618       11.628   651.9
0.3600        -1158.890    -1170.231       11.341   635.8
0.3650        -1158.773    -1170.088       11.315   634.3
0.3700        -1158.663    -1170.135       11.473   643.2
0.3750        -1158.569    -1170.193       11.624   651.7
0.3800        -1158.490    -1170.329       11.839   663.7
0.3850        -1158.439    -1170.651       12.211   684.6
0.3900        -1158.428    -1171.012       12.585   705.5
0.3950        -1158.444    -1171.208       12.763   715.5
0.4000        -1158.467    -1171.203       12.735   714.0
0.4050        -1158.490    -1171.303       12.812   718.3
0.4100        -1158.531    -1171.591       13.060   732.1
0.4150        -1158.590    -1171.673       13.083   733.5
0.4200        -1158.634    -1171.387       12.753   715.0
0.4250        -1158.642    -1171.075       12.432   697.0
0.4300        -1158.624    -1170.882       12.257   687.1
0.4350        -1158.601    -1170.917       12.316   690.4
0.4400        -1158.580    -1170.816       12.236   685.9
0.4450        -1158.541    -1170.551       12.011   673.3
0.4500        -1158.487    -1170.482       11.995   672.4
0.4550        -1158.450    -1170.780       12.330   691.3
0.4600        -1158.453    -1171.029       12.576   705.0
0.4650        -1158.457    -1170.837       12.379   694.0
0.4700        -1158.439    -1170.638       12.199   683.9
0.4750        -1158.417    -1170.828       12.411   695.8
0.4800        -1158.439    -1171.493       13.054   731.8
0.4850        -1158.522    -1172.050       13.528   758.4
0.4900        -1158.627    -1172.075       13.448   753.9
0.4950        -1158.710    -1171.897       13.186   739.2
0.5000        -1158.781    -1171.991       13.210   740.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1168.206    -1180.286       12.081   682.2
0.0050        -1168.194    -1179.397       11.204   632.7
0.0100        -1167.996    -1177.534        9.538   538.6
0.0150        -1167.638    -1175.910        8.272   467.1
0.0200        -1167.197    -1175.016        7.819   441.5
0.0250        -1166.717    -1174.173        7.456   421.0
0.0300        -1166.198    -1173.216        7.018   396.3
0.0350        -1165.642    -1172.580        6.937   391.7
0.0400        -1165.107    -1172.439        7.332   414.1
0.0450        -1164.610    -1172.239        7.629   430.8
0.0500        -1164.120    -1171.518        7.398   417.8
0.0550        -1163.599    -1170.763        7.164   404.5
0.0600        -1163.076    -1170.517        7.442   420.2
0.0650        -1162.611    -1170.877        8.266   466.8
0.0700        -1162.219    -1171.015        8.796   496.7
0.0750        -1161.859    -1170.740        8.881   501.5
0.0800        -1161.488    -1170.061        8.573   484.1
0.0850        -1161.089    -1169.559        8.470   478.3
0.0900        -1160.702    -1169.380        8.678   490.0
0.0950        -1160.316    -1168.796        8.480   478.9
0.1000        -1159.906    -1168.023        8.117   458.4
0.1050        -1159.463    -1167.587        8.124   458.8
0.1100        -1159.078    -1168.184        9.106   514.2
0.1150        -1158.789    -1168.769        9.980   563.6
0.1200        -1158.575    -1169.011       10.436   589.3
0.1250        -1158.380    -1168.975       10.595   598.3
0.1300        -1158.234    -1169.448       11.215   633.3
0.1350        -1158.144    -1169.800       11.656   658.2
0.1400        -1158.084    -1169.758       11.674   659.2
0.1450        -1158.007    -1169.399       11.392   643.3
0.1500        -1157.914    -1169.312       11.398   643.7
0.1550        -1157.819    -1169.074       11.256   635.6
0.1600        -1157.700    -1168.592       10.892   615.1
0.1650        -1157.541    -1168.167       10.626   600.1
0.1700        -1157.379    -1168.268       10.888   614.9
0.1750        -1157.241    -1168.244       11.003   621.4
0.1800        -1157.113    -1168.098       10.985   620.3
