Epoch,Train Loss,Validation Loss
0,24.517502,24.541114
1,24.489851,24.510442
2,24.454163,24.467881
3,24.402991,24.405475
4,24.326723,24.311669
5,24.210103,24.173624
6,24.045226,23.971914
7,23.791925,23.675741
8,23.43809,23.253255
9,22.937861,22.660868
10,22.238832,21.858031
11,21.323143,20.823176
12,20.184188,19.56816
13,18.824587,18.083025
14,17.294034,16.48258
15,15.650474,14.831336
16,13.961753,13.111849
17,12.300864,11.421074
18,10.722957,9.784906
19,9.305573,8.237903
20,8.110407,7.113192
21,7.12549,6.383507
22,6.311026,5.759757
23,5.842298,5.219098
24,5.48878,4.790779
25,5.272035,4.424226
26,5.091726,4.150862
27,4.988977,3.990613
28,4.913696,3.874568
29,4.870266,3.812445
30,4.845899,3.794154
31,4.829153,3.786206
32,4.816062,3.785892
33,4.792112,3.790335
34,4.77082,3.789366
35,4.760304,3.797723
36,4.754544,3.816743
37,4.71775,3.828931
38,4.699398,3.851079
39,4.669081,3.874162
40,4.646699,3.880427
41,4.63015,3.952973
42,4.599038,3.978903
43,4.582146,4.005447
44,4.553837,4.02184
45,4.541281,4.071742
46,4.518428,4.077574
47,4.493256,4.112587
48,4.478718,4.141296
49,4.451212,4.164079
50,4.434413,4.165195
51,4.418203,4.207941
52,4.39008,4.221805
53,4.378098,4.243675
54,4.350987,4.256811
55,4.344355,4.26727
