Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -191.2528    -191.2528       0.0000     0.0
0.0100         -59.2481    -210.7011     151.4530  195282.2
0.0200          93.0818    -203.0070     296.0888  381774.4
0.0300         920.9993    -187.3074    1108.3067  1429041.0
0.0400        3807.4332    -198.7156    4006.1488  5165493.5
0.0500        1879.1449    -201.9037    2081.0485  2683286.0
0.0600        2033.5339    -226.7426    2260.2765  2914380.9
0.0700        2079.4321    -199.6484    2279.0805  2938626.7
0.0800        1994.8713    -199.7374    2194.6087  2829709.5
0.0900        2687.4588    -190.7681    2878.2269  3711160.9
0.1000        2864.1769    -196.0830    3060.2599  3945872.6
0.1100        2258.2533    -211.1314    2469.3847  3184003.2
0.1200        3111.7416    -177.7317    3289.4734  4241418.5
0.1300        3838.7129    -202.1395    4040.8524  5210240.1
0.1400        3489.2676    -189.8536    3679.1212  4743827.0
0.1500        4273.4221    -179.3733    4452.7954  5741395.9
0.1600        4204.4748    -195.1964    4399.6712  5672897.9
0.1700        3156.1680    -182.5737    3338.7417  4304944.7
0.1800        2849.3553    -194.8719    3044.2272  3925200.2
0.1900        4941.1773    -197.5512    5138.7285  6625832.0
0.2000        4273.9583    -191.0759    4465.0341  5757176.4
0.2100        5752.3314    -187.6015    5939.9329  7658898.0
0.2200        5914.6062    -201.7120    6116.3182  7886327.8
0.2300        4150.5177    -193.8192    4344.3370  5601550.5
0.2400        6106.5058    -147.8260    6254.3318  8064281.3
0.2500        5118.5395    -206.5811    5325.1207  6866164.5
0.2600        4503.2321    -152.0618    4655.2939  6002495.6
0.2700        3311.2402    -186.4148    3497.6550  4509846.0
0.2800        3686.6377    -194.3422    3880.9799  5004101.9
0.2900        3320.8255    -193.0083    3513.8338  4530706.9
0.3000        3158.7257    -198.4312    3357.1569  4328689.0
0.3100        2386.2172    -218.5430    2604.7601  3358555.2
0.3200        2227.6546    -199.3042    2426.9588  3129299.6
0.3300        1677.1111    -210.1398    1887.2509  2433405.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -191.2528    -191.2528       0.0000     0.0
0.0100         -59.2481    -210.7011     151.4530  195282.2
0.0200          93.0818    -203.0070     296.0888  381774.4
0.0300         920.9993    -187.3074    1108.3067  1429041.0
0.0400        3807.4332    -198.7156    4006.1488  5165493.5
0.0500        1879.1449    -201.9037    2081.0485  2683286.0
0.0600        2033.5339    -226.7426    2260.2765  2914380.9
0.0700        2079.4321    -199.6484    2279.0805  2938626.7
0.0800        1994.8713    -199.7374    2194.6087  2829709.5
0.0900        2687.4588    -190.7681    2878.2269  3711160.9
0.1000        2864.1769    -196.0830    3060.2599  3945872.6
0.1100        2258.2533    -211.1314    2469.3847  3184003.2
0.1200        3111.7416    -177.7317    3289.4734  4241418.5
0.1300        3838.7129    -202.1395    4040.8524  5210240.1
0.1400        3489.2676    -189.8536    3679.1212  4743827.0
0.1500        4273.4221    -179.3733    4452.7954  5741395.9
0.1600        4204.4748    -195.1964    4399.6712  5672897.9
0.1700        3156.1680    -182.5737    3338.7417  4304944.7
0.1800        2849.3553    -194.8719    3044.2272  3925200.2
0.1900        4941.1773    -197.5512    5138.7285  6625832.0
0.2000        4273.9583    -191.0759    4465.0341  5757176.4
0.2100        5752.3314    -187.6015    5939.9329  7658898.0
0.2200        5914.6062    -201.7120    6116.3182  7886327.8
0.2300        4150.5177    -193.8192    4344.3370  5601550.5
0.2400        6106.5058    -147.8260    6254.3318  8064281.3
0.2500        5118.5395    -206.5811    5325.1207  6866164.5
0.2600        4503.2321    -152.0618    4655.2939  6002495.6
0.2700        3311.2402    -186.4148    3497.6550  4509846.0
0.2800        3686.6377    -194.3422    3880.9799  5004101.9
0.2900        3320.8255    -193.0083    3513.8338  4530706.9
0.3000        3158.7257    -198.4312    3357.1569  4328689.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -191.2528    -191.2528       0.0000     0.0
0.0100         -59.2481    -210.7011     151.4530  195282.2
0.0200          93.0818    -203.0070     296.0888  381774.4
0.0300         920.9993    -187.3074    1108.3067  1429041.0
0.0400        3807.4332    -198.7156    4006.1488  5165493.5
0.0500        1879.1449    -201.9037    2081.0485  2683286.0
0.0600        2033.5339    -226.7426    2260.2765  2914380.9
0.0700        2079.4321    -199.6484    2279.0805  2938626.7
0.0800        1994.8713    -199.7374    2194.6087  2829709.5
0.0900        2687.4588    -190.7681    2878.2269  3711160.9
0.1000        2864.1769    -196.0830    3060.2599  3945872.6
