Epoch,Train Loss,Validation Loss
0,24.552659,24.268839
1,24.538467,24.254423
2,24.523812,24.239283
3,24.507994,24.22316
4,24.490637,24.205194
5,24.471648,24.18563
6,24.451919,24.165423
7,24.430682,24.143486
8,24.408895,24.121648
9,24.387278,24.100235
10,24.366753,24.080201
11,24.347966,24.062203
12,24.331378,24.047018
13,24.317671,24.03493
14,24.307043,24.025612
15,24.299285,24.019043
16,24.293953,24.014839
17,24.290728,24.012435
18,24.288977,24.011244
19,24.288141,24.010659
