Epoch,Train Loss,Validation Loss
0,24.399149,25.296513
1,24.361578,25.254577
2,24.313168,25.196771
3,24.243405,25.114595
4,24.144369,24.995722
5,23.997095,24.820343
6,23.78657,24.560848
7,23.478033,24.186463
8,23.028442,23.657303
9,22.4245,22.947154
10,21.624043,22.03049
11,20.578165,20.868874
12,19.343148,19.533403
13,17.896504,17.997649
14,16.296633,16.347165
15,14.612852,14.617718
16,12.894158,12.874934
17,11.171203,11.12875
18,9.54784,9.471272
19,8.166006,7.952714
20,7.133865,6.727244
21,6.27131,6.019576
22,5.770413,5.587218
23,5.393022,5.330538
24,5.135066,5.136176
25,4.993244,4.96772
26,4.880678,4.878978
27,4.824693,4.874536
28,4.778677,4.86706
29,4.759314,4.887151
30,4.740549,4.894246
31,4.72365,4.897088
32,4.702305,4.903221
33,4.687094,4.912656
34,4.658228,4.91434
35,4.644937,4.907722
36,4.622717,4.897654
37,4.597943,4.906357
38,4.580347,4.900599
39,4.549146,4.888573
40,4.541945,4.896943
41,4.503886,4.872941
42,4.469079,4.844682
43,4.444252,4.84443
44,4.419477,4.851307
45,4.393601,4.831235
46,4.362807,4.822341
47,4.349168,4.809128
48,4.31264,4.802073
49,4.293003,4.799407
50,4.255606,4.776535
51,4.226581,4.779055
52,4.211904,4.765141
53,4.192991,4.755174
54,4.156245,4.737303
55,4.139574,4.731851
56,4.132284,4.730646
57,4.093459,4.711826
58,4.066018,4.703389
59,4.042474,4.685798
60,4.012919,4.680468
61,4.005769,4.674127
62,3.978165,4.661752
63,3.968313,4.653106
64,3.938111,4.643298
65,3.922555,4.635247
66,3.90707,4.627265
67,3.894632,4.6187
68,3.878467,4.612029
69,3.8583,4.597993
70,3.845094,4.595443
71,3.828644,4.589588
72,3.818861,4.582543
73,3.812908,4.575033
74,3.792245,4.574122
75,3.78129,4.56538
76,3.769905,4.560151
77,3.76989,4.559884
78,3.758429,4.554286
79,3.752148,4.551652
80,3.7427,4.546264
81,3.736951,4.544994
82,3.732711,4.543624
83,3.726271,4.541812
84,3.721801,4.536783
85,3.71907,4.537102
86,3.714735,4.53498
87,3.712197,4.534175
88,3.709092,4.532636
89,3.706061,4.530868
90,3.702894,4.529565
91,3.701392,4.529093
92,3.699008,4.52752
93,3.698026,4.527824
94,3.696836,4.527112
95,3.695869,4.5264
96,3.694892,4.526105
97,3.693859,4.525779
98,3.693306,4.525572
99,3.692823,4.525273
