Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1167.876    -1182.925       15.050   843.7
0.0050        -1167.698    -1181.496       13.798   773.5
0.0100        -1167.527    -1178.606       11.079   621.1
0.0150        -1167.120    -1176.579        9.459   530.3
0.0200        -1166.627    -1175.886        9.259   519.1
0.0250        -1166.110    -1174.867        8.757   490.9
0.0300        -1165.521    -1173.461        7.939   445.1
0.0350        -1164.870    -1172.603        7.732   433.5
0.0400        -1164.249    -1172.799        8.550   479.3
0.0450        -1163.724    -1173.160        9.436   529.0
0.0500        -1163.248    -1172.641        9.393   526.6
0.0550        -1162.730    -1171.534        8.804   493.6
0.0600        -1162.197    -1171.596        9.399   526.9
0.0650        -1161.786    -1172.903       11.118   623.3
0.0700        -1161.534    -1173.819       12.285   688.7
0.0750        -1161.325    -1173.076       11.751   658.8
0.0800        -1161.009    -1171.366       10.357   580.6
0.0850        -1160.562    -1169.903        9.341   523.7
0.0900        -1160.057    -1169.329        9.272   519.8
0.0950        -1159.575    -1169.282        9.707   544.2
0.1000        -1159.128    -1169.018        9.890   554.5
0.1050        -1158.700    -1168.832       10.132   568.0
0.1100        -1158.307    -1168.982       10.676   598.5
0.1150        -1157.981    -1169.388       11.407   639.5
0.1200        -1157.723    -1169.730       12.007   673.1
0.1250        -1157.515    -1169.951       12.436   697.1
0.1300        -1157.332    -1169.694       12.362   693.0
0.1350        -1157.135    -1169.422       12.287   688.8
0.1400        -1156.946    -1169.444       12.498   700.7
0.1450        -1156.785    -1169.616       12.831   719.3
0.1500        -1156.655    -1169.721       13.066   732.5
0.1550        -1156.540    -1169.683       13.143   736.8
0.1600        -1156.437    -1169.882       13.445   753.7
0.1650        -1156.379    -1170.337       13.958   782.5
0.1700        -1156.360    -1170.548       14.188   795.4
0.1750        -1156.353    -1170.599       14.247   798.7
0.1800        -1156.354    -1170.642       14.288   801.0
0.1850        -1156.351    -1170.509       14.157   793.7
0.1900        -1156.340    -1170.484       14.144   792.9
0.1950        -1156.327    -1170.475       14.148   793.1
0.2000        -1156.326    -1170.712       14.386   806.5
0.2050        -1156.346    -1170.859       14.513   813.6
0.2100        -1156.371    -1170.855       14.484   812.0
0.2150        -1156.391    -1170.904       14.513   813.6
0.2200        -1156.426    -1171.170       14.744   826.5
0.2250        -1156.472    -1171.079       14.606   818.8
0.2300        -1156.480    -1170.513       14.033   786.7
0.2350        -1156.437    -1170.149       13.712   768.7
0.2400        -1156.386    -1170.221       13.835   775.6
0.2450        -1156.345    -1170.135       13.790   773.1
0.2500        -1156.279    -1169.689       13.410   751.8
0.2550        -1156.187    -1169.596       13.409   751.7
0.2600        -1156.126    -1170.174       14.048   787.5
0.2650        -1156.140    -1170.964       14.825   831.1
0.2700        -1156.219    -1171.479       15.260   855.5
0.2750        -1156.311    -1171.261       14.950   838.1
0.2800        -1156.342    -1170.483       14.141   792.8
0.2850        -1156.310    -1170.127       13.818   774.6
0.2900        -1156.279    -1170.480       14.201   796.1
0.2950        -1156.285    -1170.678       14.393   806.9
0.3000        -1156.280    -1170.186       13.905   779.5
0.3050        -1156.212    -1169.432       13.221   741.2
0.3100        -1156.099    -1169.261       13.162   737.9
0.3150        -1156.003    -1169.445       13.442   753.5
0.3200        -1155.927    -1169.391       13.464   754.8
0.3250        -1155.831    -1168.945       13.115   735.2
0.3300        -1155.709    -1168.824       13.115   735.2
0.3350        -1155.608    -1169.089       13.481   755.8
0.3400        -1155.541    -1169.250       13.709   768.5
0.3450        -1155.475    -1169.031       13.556   760.0
0.3500        -1155.407    -1169.272       13.864   777.2
0.3550        -1155.412    -1170.319       14.907   835.7
0.3600        -1155.509    -1171.021       15.513   869.6
0.3650        -1155.626    -1170.799       15.173   850.6
0.3700        -1155.668    -1169.744       14.076   789.1
0.3750        -1155.604    -1168.833       13.230   741.7
0.3800        -1155.488    -1168.648       13.160   737.7
0.3850        -1155.382    -1168.640       13.259   743.3
0.3900        -1155.272    -1168.382       13.110   734.9
0.3950        -1155.155    -1168.372       13.218   741.0
0.4000        -1155.071    -1168.822       13.750   770.8
0.4050        -1155.038    -1169.085       14.047   787.5
0.4100        -1155.017    -1169.064       14.047   787.5
0.4150        -1155.008    -1169.349       14.341   804.0
0.4200        -1155.036    -1169.765       14.728   825.7
0.4250        -1155.091    -1169.920       14.829   831.3
0.4300        -1155.140    -1169.752       14.612   819.2
0.4350        -1155.172    -1169.845       14.673   822.6
0.4400        -1155.223    -1170.176       14.953   838.3
0.4450        -1155.300    -1170.442       15.142   848.9
0.4500        -1155.383    -1170.348       14.965   839.0
0.4550        -1155.423    -1169.744       14.321   802.8
0.4600        -1155.398    -1169.206       13.808   774.1
0.4650        -1155.354    -1169.403       14.050   787.6
0.4700        -1155.358    -1169.846       14.488   812.2
0.4750        -1155.365    -1169.558       14.192   795.6
0.4800        -1155.352    -1169.607       14.255   799.2
0.4850        -1155.375    -1170.264       14.890   834.7
0.4900        -1155.444    -1170.299       14.855   832.8
0.4950        -1155.472    -1169.806       14.334   803.6
0.5000        -1155.486    -1170.176       14.690   823.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1165.908    -1180.286       14.378   811.9
0.0050        -1166.024    -1179.262       13.237   747.5
0.0100        -1165.832    -1176.925       11.092   626.4
0.0150        -1165.439    -1174.913        9.474   535.0
0.0200        -1164.939    -1173.978        9.039   510.4
0.0250        -1164.424    -1173.326        8.901   502.6
0.0300        -1163.883    -1172.365        8.483   479.0
0.0350        -1163.303    -1171.540        8.237   465.1
0.0400        -1162.720    -1171.123        8.402   474.5
0.0450        -1162.158    -1170.710        8.552   482.9
0.0500        -1161.596    -1170.032        8.436   476.4
0.0550        -1161.029    -1169.625        8.596   485.4
0.0600        -1160.498    -1169.710        9.213   520.3
0.0650        -1160.041    -1170.051       10.010   565.3
0.0700        -1159.637    -1169.841       10.203   576.2
0.0750        -1159.224    -1169.079        9.856   556.5
0.0800        -1158.770    -1168.301        9.531   538.2
0.0850        -1158.301    -1167.907        9.606   542.4
0.0900        -1157.851    -1167.606        9.755   550.9
0.0950        -1157.399    -1166.970        9.571   540.5
0.1000        -1156.918    -1166.124        9.206   519.9
0.1050        -1156.416    -1165.754        9.338   527.3
0.1100        -1155.960    -1166.050       10.090   569.8
0.1150        -1155.588    -1166.568       10.980   620.0
0.1200        -1155.289    -1166.764       11.476   648.0
0.1250        -1155.016    -1166.559       11.543   651.8
0.1300        -1154.757    -1166.373       11.616   655.9
0.1350        -1154.498    -1166.204       11.706   661.0
0.1400        -1154.267    -1166.345       12.078   682.0
